	Control.A01	Control.A02	Control.A03	Control.A04	Control.A05	Control.A06	Control.A07	Control.A08	Control.A09	Control.A10	Control.A11	Control.A12	Control.A13	Control.A14	Control.A15	Control.A16	Control.A17	Control.A18	Control.A19	Control.A20	Control.A21	Control.A22	Control.A23	Control.A24	Control.A25	Control.A26	Control.A27	Control.A28	Control.C01	Control.C02	Control.C03	Control.C04	Control.C05	Control.C06	Control.C07	Control.C08	Control.C09	Control.C10	Control.C11	Control.C12	Control.C13	Control.C14	Control.C15	Control.C17	Control.C18	PsO.A01	PsO.A02	PsO.A03	PsO.A04	PsO.A05	PsO.A06	PsO.A07	PsO.A08	PsO.A09	PsO.A10	PsO.A11	PsO.A12	PsO.A13	PsO.A14	PsO.A15	PsO.A16	PsO.A17	PsO.A18	PsO.A19	PsO.A20	PsO.A21	PsO.A22	PsO.A23	PsO.A24	PsO.A25	PsO.A26	PsO.A27	PsO.A28	PsO.C03	PsO.C04	PsO.C05	PsO.C06	PsO.C07	PsO.C08	PsO.C09	PsO.C10	PsO.C11	PsO.C12	PsO.C14	PsO.C15	PsO.C16	PsO.C17	PsO.C18	PsO.C19	PsO.C20	PsO.C21	PsO.C22	PsO.C23	PsO.C24	PsO.C25	PsO.C26	PsO.C27	PsO.C28	PsO.C29	PsO.C30	PsO.C31	PsO.C32	PsO.C33	PsO.C34	PsO.C35	PsO.C36	PsO.C37	PsO.C38	PsO.C39	PsO.C40	PsO.C41	PsO.C42	PsO.C43	PsO.C44	PsO.C45	PsO.C46	PsO.C47	PsO.C48	PsO.C49	PsO.C50	PsO.C51	PsO.C52	PsO.C53	PsO.C54	PsO.C55	PsO.C56	PsO.C57	PsO.C58	PsO.C59	PsO.C60	PsO.C61	PsO.C62	PsO.C63	PsO.C64	PsO.C65	PsO.C66	PsO.C67	PsO.C68	PsO.C69	PsO.C70	PsO.C71	PsO.C72	PsO.C73
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.00599433	0.00385668	0.00528548	0.00655395	0.00299499	0.0040797	0.00618327	0.00737187	0.00313463	0.00671506	0.0100833	0.00319764	0.00738744	0.0029187	0.00467716	0.00764644	0.00554005	0.00425336	0.00197947	0.0108176	0.0022693	0.00409167	0.00577141	0.00557366	0.00389151	0.00752049	0.00482891	0.00725392	0.0108937	0.0055284	0.00685173	0.0108611	0.00347813	0.00292821	0.00424556	0.00789196	0.0059548	0.00526159	0.00354755	0.00823779	0.00758178	0.0062109	0.00424731	0.00796667	0.00475875	0.00178941	0.00356995	0.00653906	0.00429091	0.00591302	0.00586438	0.00353879	0.00789997	0.00164943	0.00912035	0.00411378	0.0056493	0.00598843	0.0044859	0.00421979	0.00774076	0.00471203	0.00398254	0.00338091	0.00469177	0.00313312	0.00393863	0.0035521	0.00426206	0.00420423	0.00286526	0.00362276	0.00690575	0.00893936	0.00418382	0.00621533	0.00828196	0.0038757	0.00237386	0.00301621	0.00575766	0.00787996	0.00527442	0.00549138	0.0040989	0.00458579	0.00303889	0.00527977	0.00383616	0.00571807	0.00631351	0.00669745	0.00696737	0.00772411	0.00534595	0.00246468	0.00177582	0.00942312	0.00477652	0.00346226	0.00203582	0.00826518	0.00343474	0.00355062	0.00388109	0.00299819	0.00280542	0.00653374	0.0030433	0.00247587	0.0042709	0.00412905	0.0095389	0.0105951	0.00476296	0.00291734	0.00581668	0.00631599	0.00687471	0.00464634	0.00697514	0.0036205	0.00750985	0.00749548	0.00272469	0.00693425	0.00598744	0.00784022	0.00484867	0.00811021	0.00600712	0.0067711	0.00644638	0.0085876	0.00557458	0.00293056	0.00701992	0.0086986	0.00677005	0.00533751	0.00711173	0.00674792	0.00419831
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.00355646	0.00356023	0.00523132	0.00640888	0.00279061	0.00375838	0.00590265	0.00675253	0.00295642	0.0064363	0.0101279	0.00292364	0.00671602	0.00273	0.00448432	0.00706238	0.00526337	0.00356693	0.00185931	0.0106324	0.0021471	0.00380366	0.00532942	0.00516726	0.0037003	0.00709919	0.004504	0.00733066	0.0108125	0.00517783	0.00631016	0.0105377	0.00317704	0.00269448	0.00389158	0.00788424	0.005665	0.00487189	0.00299967	0.00801738	0.00743822	0.00600469	0.00426199	0.00753606	0.0044228	0.00157209	0.00332824	0.0064205	0.00400997	0.00566161	0.00563485	0.00320572	0.00769101	0.00137318	0.00845278	0.00368895	0.00551607	0.00518274	0.00418905	0.00428794	0.00790575	0.004546	0.00340433	0.00318118	0.00440788	0.00265642	0.00380127	0.00305319	0.00389661	0.00397694	0.00275385	0.00324387	0.00681722	0.00887873	0.00399651	0.0057099	0.00832814	0.00368875	0.00215109	0.00278492	0.00554712	0.00722012	0.00525152	0.00549619	0.00349892	0.00435868	0.00287907	0.00525326	0.00321671	0.00569873	0.00635847	0.00647236	0.00667435	0.00767387	0.00484916	0.00218056	0.00165966	0.00907356	0.00433917	0.00326024	0.00179366	0.00770799	0.00302129	0.00301519	0.00348634	0.00306712	0.00268743	0.00580722	0.00252607	0.00213366	0.00397329	0.00331742	0.00967545	0.0100878	0.0041076	0.00276379	0.00584059	0.00590306	0.00686057	0.00423542	0.00668452	0.00332644	0.00709573	0.00739064	0.00254802	0.00635003	0.00580603	0.0076694	0.00474247	0.0078413	0.00577874	0.00650663	0.00633613	0.00873335	0.00519052	0.00268107	0.00663694	0.00858386	0.00632446	0.00483495	0.00699689	0.00643945	0.00363952
ARO-PWY: chorismate biosynthesis I	0.0100083	0.00898732	0.00791599	0.0106597	0.00995566	0.00881653	0.00823726	0.00897791	0.00664564	0.0099934	0.011834	0.0100166	0.00990101	0.00834031	0.00693416	0.00975466	0.00979614	0.006457	0.0106548	0.011214	0.00989028	0.00770453	0.009199	0.00947789	0.00853824	0.00856643	0.00889403	0.00868227	0.0111052	0.00968415	0.00978538	0.0112698	0.0069433	0.010421	0.00468061	0.00959919	0.00727936	0.0102251	0.00769546	0.0100295	0.0097047	0.00991032	0.0055821	0.0110005	0.00861656	0.0106529	0.00778689	0.00959488	0.00930607	0.00902352	0.0106485	0.00538149	0.00958949	0.00858327	0.00969441	0.010996	0.0119413	0.00842886	0.0106717	0.00493449	0.00953895	0.00746044	0.00730368	0.00729381	0.00943304	0.00564285	0.00795107	0.0120874	0.00879371	0.00924995	0.0104877	0.00681852	0.0101782	0.0108773	0.0107295	0.00984178	0.00951641	0.00675055	0.00762656	0.00685484	0.00921927	0.0105972	0.00990958	0.00971635	0.00977741	0.0095315	0.00865681	0.00787854	0.00726034	0.00722837	0.00910764	0.00948406	0.00958694	0.00948672	0.00716894	0.00638748	0.00811317	0.0110797	0.0075113	0.00837913	0.00772474	0.0118638	0.00820702	0.00746626	0.00947643	0.00710656	0.00915025	0.00919155	0.00637655	0.00941166	0.00947921	0.00611813	0.0108599	0.0106158	0.00701581	0.0106465	0.00864535	0.0103393	0.010564	0.0104978	0.00935727	0.00686957	0.00811015	0.00979734	0.00848369	0.00879892	0.0104736	0.0105709	0.00907726	0.0108129	0.00986626	0.00946442	0.00935875	0.0101551	0.00967554	0.00712634	0.00835787	0.0110518	0.00979689	0.00925094	0.00979889	0.00998412	0.0106958
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.00219445	0.00615809	0.00586513	0.00591021	0.00824318	0.00786818	0.0076193	0.00943841	0.00543052	0.00659292	0.00547783	0.00961569	0.00616743	0.00772766	0.00565498	0.00530202	0.00783665	0.0157238	0.00901984	0.00367826	0.00839517	0.00734588	0.00639736	0.00603856	0.00803741	0.0066152	0.00810211	0.00495948	0.00387433	0.00669392	0.0063715	0.00459111	0.00673801	0.00980554	0.00648528	0.00595221	0.00666552	0.00976573	0.00773356	0.00597114	0.00553101	0.00498495	0.00545568	0.00605618	0.00857386	0.0100882	0.00709555	0.0048793	0.00735822	0.00580244	0.00433941	0.011165	0.00639757	0.00803334	0.00624588	0.0124076	0.00583338	0.00835922	0.00614843	0.00489585	0.00502312	0.00748064	0.0153789	0.00627924	0.00990367	0.00865182	0.00676411	0.00532089	0.00833012	0.00770476	0.00971643	0.0122067	0.00728992	0.00479732	0.00882373	0.00597373	0.00543966	0.00731502	0.00804687	0.00750412	0.00545311	0.0114733	0.00732792	0.00729577	0.00866938	0.00792756	0.00630621	0.00433981	0.0147241	0.00524326	0.00355408	0.00984293	0.00591768	0.00518257	0.0114205	0.0158636	0.00933677	0.00842557	0.0141577	0.00791519	0.00647312	0.00619963	0.00676699	0.0131235	0.00579975	0.00648354	0.0081143	0.00886193	0.0131399	0.00901631	0.00775738	0.0123226	0.00649717	0.00602173	0.0155349	0.0100336	0.00655997	0.00989253	0.00497784	0.0084938	0.00824764	0.00652979	0.00874693	0.00529928	0.00865007	0.00954467	0.007841	0.00679062	0.00832215	0.00562365	0.00538563	0.00548476	0.00670883	0.00432828	0.0061693	0.00698105	0.00829051	0.00553976	0.00721148	0.00813935	0.00579524	0.00614326	0.0128469
AST-PWY: L-arginine degradation II (AST pathway)	0.000293006	1.16E-05	0.000248646	3.43E-05	4.49E-05	2.76E-05	0.000505751	0	0.000471769	1.72E-05	1.58E-05	4.02E-06	7.77E-05	0.000225011	0.000423136	2.88E-05	4.41E-05	0	0.000136382	1.68E-05	6.50E-05	0.000533105	8.39E-05	0	0.000188338	2.31E-05	0.000258552	0.000354335	4.24E-05	0.000160847	3.70E-05	0.000189834	0.000624879	5.15E-05	0.00147024	0.000101932	0.000444616	0	0.000661848	4.82E-05	7.92E-05	1.06E-05	0.00162199	9.36E-05	0.000207606	0.000204933	0.000320619	0.000140296	6.47E-05	0	4.49E-05	0.000315453	5.51E-05	6.19E-05	3.63E-05	0	0	3.88E-05	0.000208022	0.00275735	1.34E-05	0.000370106	0	0.000582916	0	0.000899635	0.000409892	7.38E-05	3.73E-05	0.000244351	0	0.000205377	1.46E-05	2.07E-05	2.40E-05	0.00025819	0.000227662	0.000650733	0.000479317	0.000875762	0.000155885	4.41E-05	4.66E-06	6.97E-05	2.56E-05	5.11E-05	0.000119591	0.000493271	7.04E-05	0.00129297	0.000220782	1.31E-05	0.000150525	0.000121542	2.70E-05	1.85E-05	0.000311758	3.31E-05	4.87E-05	0.00020151	0.000459682	0	0.00039854	7.54E-06	3.76E-05	0.000475477	1.24E-05	0	5.43E-05	0.00015933	0	0.000268494	1.00E-05	0	0	5.83E-05	0.00016277	0	4.40E-06	2.44E-05	6.04E-05	0.000521168	0.000189279	6.20E-05	0.000143578	3.09E-05	3.78E-06	0	9.15E-05	4.37E-05	0	6.06E-05	9.98E-05	8.40E-05	5.46E-06	0.000489228	0.000182766	0	0	6.81E-05	0.000112858	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.00548912	0.00224568	0.00186864	0.00112729	0.00322724	0.00405053	0.00254328	0.000909617	0.00408548	0.00233887	0.00224204	0.00446586	0.00249731	0.0032483	0.00397155	0.0023665	0.00103332	0.000486068	0.00730315	0.00246536	0.00312836	0.00654543	0.00386165	0.00372854	0.00415993	0.00130712	0.00369936	0.00334196	0.000760714	0.00345147	0.00155184	0.00125302	0.00457767	0.00410189	0.00382959	0.00214732	0.00302945	0.000877792	0.00236227	0.00159764	0.00145031	0.000943532	0.00341369	0.00362832	0.00241102	0.00488954	0.0041901	0.00167006	0.00257087	0.00120504	0.00268133	0.00156916	0.00141481	0.00385283	0.000860746	0.0014046	0.00104773	0.00181524	0.00370355	0.00422138	0.00258705	0.00420534	0.000582581	0.00456625	0.00042104	0.00351631	0.00348188	0.00136495	0.00335355	0.00547287	0.00518855	0.00183265	0.00234344	0.00202221	0.00485496	0.00362143	0.0021627	0.00456256	0.00534146	0.00584872	0.00228396	0.000382958	0.00124711	0.00364335	0.000862432	0.00383528	0.00277466	0.00313204	0.00130133	0.00510856	0.00201653	0.000665205	0.00268331	0.00185183	0.00130278	0.000690406	0.00571498	0.00054121	0.00135298	0.0041807	0.00523242	0.00121682	0.00352168	0.00230285	0.00244627	0.00472711	0.00514391	0.000535742	0.00163791	0.00477576	0.00392575	0.00203679	0.00310275	0.000726698	0.00229801	0.00308678	0.00328365	0.000635769	0.00138269	0.00469067	0.00154824	0.00368679	0.00174893	0.00194995	0.00435097	0.000745976	0.0014733	0.00250891	0.00522357	0.00251586	0.00122969	0.00292784	0.00389241	0.00242522	0.00337081	0.00480628	0.0026939	0.000867237	0.00176571	0.00186244	0.00212987	0.00359197	0.00076717
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	0.00528126	0.0091608	0.00530994	0.00782312	0.00875954	0.00696866	0.0110752	0.0146398	0.00744365	0.00684273	0.0071179	0.00736246	0.0121006	0.00713177	0.00637002	0.00777562	0.00895485	0.0176258	0.00607853	0.00766077	0.00383071	0.00434525	0.00886972	0.00856288	0.00644467	0.0113986	0.00854476	0.00676084	0.00969496	0.00854847	0.0107642	0.00810375	0.00551745	0.0080754	0.00836562	0.0070613	0.00953706	0.0172954	0.00897392	0.00970166	0.00899493	0.00899326	0.00677817	0.0092624	0.0114322	0.00703992	0.00696431	0.00424704	0.00719279	0.00801784	0.00506511	0.0178626	0.0116275	0.00787998	0.0108011	0.0159569	0.00794347	0.0120984	0.00533512	0.00525588	0.00778863	0.00644163	0.0182961	0.00709183	0.0149994	0.00973517	0.00644579	0.00864062	0.00747312	0.00496404	0.00671616	0.0149334	0.00731067	0.00946761	0.00840362	0.00942442	0.00798652	0.00511306	0.00597846	0.00481654	0.00737407	0.0156583	0.00935556	0.00545112	0.0165038	0.00820362	0.00448099	0.00741649	0.0172503	0.00624474	0.00511605	0.0136208	0.00673313	0.00872711	0.0171543	0.0179087	0.00596893	0.013599	0.0173775	0.0070835	0.00590732	0.00945153	0.00775331	0.0154656	0.00806248	0.00547398	0.00780541	0.0135186	0.016214	0.00574876	0.00878153	0.0158058	0.00731766	0.0102985	0.0170415	0.00858696	0.00739147	0.0154577	0.00619369	0.00701725	0.0126262	0.00666029	0.0126761	0.00854821	0.00655651	0.0135432	0.00990563	0.00641249	0.00618447	0.00533556	0.00790237	0.00785674	0.00813334	0.00808702	0.00511171	0.00599408	0.0110641	0.00954864	0.0116675	0.0100378	0.00855905	0.00868633	0.0208999
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.00567061	0.00556601	0.00729743	0.00786648	0.00477559	0.00733798	0.00670664	0.0105031	0.00724983	0.00788509	0.00849792	0.00602099	0.00814085	0.00760187	0.0066702	0.00654224	0.00649405	0.0124793	0.00542022	0.00617944	0.00633779	0.00702596	0.00659104	0.00569745	0.00674998	0.0079033	0.00646201	0.00807944	0.00864846	0.00604888	0.00778065	0.00880845	0.00677652	0.00685548	0.00559684	0.00686024	0.00779141	0.00884376	0.0087494	0.00518538	0.00950096	0.00775701	0.00759668	0.00672939	0.00939751	0.00501685	0.00731492	0.00740996	0.00685205	0.0075142	0.00763872	0.0107655	0.00803582	0.00571331	0.00777241	0.00587611	0.00765065	0.00822589	0.00773516	0.00514185	0.0073695	0.00671086	0.0122105	0.00663274	0.0109938	0.00809135	0.00700031	0.00647789	0.0067213	0.00757939	0.00680057	0.0102428	0.0054625	0.00934898	0.00636625	0.00686862	0.00866316	0.00723459	0.00666398	0.00660745	0.00646104	0.0103755	0.00719913	0.00806484	0.0111383	0.00547981	0.00681718	0.0065085	0.0118689	0.00709955	0.00773271	0.010545	0.00805317	0.00886443	0.0121513	0.0126261	0.00680965	0.00875239	0.0111556	0.00640818	0.00710077	0.00946308	0.00628126	0.0102847	0.00611086	0.00792354	0.00803418	0.00934246	0.0109501	0.0065122	0.0067651	0.0087371	0.00895544	0.00834272	0.0117414	0.005627	0.00676637	0.0114767	0.00828341	0.00539818	0.00978584	0.00724765	0.00857629	0.00779905	0.0071988	0.0102268	0.00551103	0.00637601	0.0074183	0.00616255	0.00667635	0.00627342	0.00750779	0.0101716	0.00635922	0.00640981	0.00915193	0.00919239	0.00931556	0.00932612	0.00767404	0.00666685	0.00584475
CARNMET-PWY: L-carnitine degradation I	7.12E-06	0	8.61E-06	0	1.44E-05	0	5.96E-05	0	0.000116895	0	0	0	8.03E-06	6.76E-05	0.00018595	0	2.86E-06	0	1.95E-05	0	0	4.13E-05	0	0	2.50E-05	0	6.55E-06	2.80E-05	1.85E-06	3.68E-06	0	2.20E-05	0.000134475	0	0.000428209	3.62E-06	0.00013193	0	3.97E-05	0	1.28E-06	0	0.000163415	2.72E-05	2.89E-06	2.16E-05	6.56E-05	1.42E-05	5.55E-06	0	0	2.58E-05	1.43E-05	1.88E-05	1.75E-06	0	0	0	2.57E-05	0.000173992	0	2.66E-05	0	7.68E-05	0	0.000188501	3.99E-05	3.16E-06	2.16E-06	5.27E-05	0	3.15E-05	0	0	2.43E-06	0	1.22E-05	3.97E-05	2.38E-05	0.000100571	5.35E-06	0	0	8.49E-06	0	0	1.13E-05	4.02E-05	1.25E-05	0	7.14E-06	0	4.25E-05	0	0	0	1.39E-05	1.13E-05	0	2.73E-05	7.17E-05	0	0.000123296	0	6.75E-06	0.000163839	1.93E-06	0	1.22E-05	1.32E-05	0	4.78E-06	0	0	0	4.73E-06	1.38E-05	0	0	2.38E-06	0	2.99E-05	2.88E-06	1.10E-05	3.24E-05	0	0	0	6.86E-06	0	0	1.15E-06	4.48E-06	5.40E-06	0	0.000123088	6.57E-05	0	0	0	2.50E-05	0	0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	0	0	2.20E-05	7.33E-05	1.28E-05	0	1.84E-05	0	1.31E-05	0	0	0	5.95E-05	8.90E-06	1.94E-05	7.41E-06	0	0	1.04E-05	9.63E-06	0	0.000288003	6.53E-05	0	3.46E-05	1.41E-05	0.000206067	7.74E-06	0	0.000108731	0	7.12E-05	8.28E-05	0	1.80E-05	1.59E-05	5.95E-05	0	0	0	9.26E-06	0	0.000605453	4.99E-05	8.45E-05	1.69E-05	2.55E-05	0	0	0	0	0.000157329	0	0	0	0	0	0	0.000100193	0.00148928	0	0	0	0.000205331	0	0.000269718	0	5.82E-06	8.52E-06	4.13E-05	0	6.02E-05	0	1.59E-05	0	0.000121153	0.00011038	0	0	0.000171108	2.64E-05	1.80E-05	0	0	0	0	0	0	4.78E-05	0.000590293	9.48E-06	0	3.85E-05	1.35E-05	0	1.06E-05	0	0	0	0	2.99E-05	0	5.85E-06	0	2.83E-06	5.70E-05	0	0	2.57E-05	0	0	0	0	0	0	0	0	8.59E-06	0	0	0	0	6.45E-06	0	1.89E-05	0	0	0	0	0	0	8.53E-06	2.62E-05	0	0	4.23E-05	2.10E-05	0	0	0	6.47E-05	0	0
CENTFERM-PWY: pyruvate fermentation to butanoate	0.000339914	0.000443336	0.000180179	0.000318121	0.000201709	0.000102002	0.000347216	0.00024116	0.00057525	9.13E-05	0.000654572	4.17E-05	0.000956784	2.40E-05	0.000254338	0.000174338	0.000506583	0.000180251	8.06E-05	0.000302585	8.33E-05	0.000144197	0.000271419	0.000223005	0	0.000384693	0.000190579	0.000453612	0.00042933	0.000468829	0.000695461	0.000563535	0.000340313	0.000422741	4.17E-05	0.00069056	0.00058987	0.000188287	0.000103888	0.000451669	0.000507495	0.000210262	7.54E-05	0.000471227	0.00024596	0.000109964	0.000144988	0.000121322	0.000148545	0.000234854	7.41E-05	3.69E-05	0.000301806	6.13E-05	0.000876676	0.000200346	0.000680427	0.000420401	0.000255401	6.52E-05	0.000302938	0.00030859	0.000327695	0.00017754	7.43E-05	1.85E-05	7.11E-05	2.01E-05	3.98E-05	0.000148839	2.28E-05	8.03E-05	0.000347979	0.000336043	0.000200153	0.000556118	0.00075505	9.90E-05	0.000162645	0.000146437	0.000320751	0.000218702	0.000301948	0.000308028	0.000166518	0.000467901	0.000224057	0.000185041	9.28E-05	0.000287771	0.000561219	0.000468826	0.000301724	0.000404635	0.000189142	6.06E-05	3.56E-05	0.00126517	6.87E-05	0.000480208	0.00010146	0.000447519	0.000299871	0	0.000347474	1.69E-05	0.000207803	0.000501571	0.000219772	0.000123978	0.000262844	0.000108735	0.000429025	0.000702587	0.000255604	0.000123523	0.000488245	0.000387206	0.000313474	0.000106817	0.000406881	0.000653705	0.00042922	0.00048118	0.000178818	0.000468896	0.000420593	2.88E-05	0.000489289	0.000455205	0.000224319	0.000574106	0.000336056	0.00067716	0.00020878	0	0.000254676	0.000704364	0.00029713	0.000415342	0.000502269	0.000453939	0.000321557
"CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.79E-06	0	0	0	0	0	0	0	0	0	0	0	0	0.000152319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CITRULBIO-PWY: L-citrulline biosynthesis	0.00649133	0.0034691	0.00209715	0.00313732	0.00407517	0.00448117	0.00162201	0.00213932	0.0026178	0.00499347	0.00366551	0.0046888	0.00233224	0.00358343	0.00417724	0.00485264	0.00340307	0.000980516	0.00326483	0.00230358	0.00291936	0.00510201	0.00309364	0.000935948	0.00500291	0.00190384	0.00454784	0.00395517	0.000371548	0.00282	0.00281172	0.000512225	0.00406216	0.00362611	0.00312599	0.0037916	0.00232265	0.00141233	0.00181579	0.00410311	0.00155959	0.00255264	0.00223899	0.00292255	0.00315894	0.00221698	0.00396598	0.00121067	0.00465228	0.00306578	0.00229048	0.00157345	0.00217502	0.00204511	0.00236583	0.00175648	0.00191995	0.00382634	0.0034141	0.00214966	0.0047922	0.00470903	0.00199191	0.00295871	0.000594209	0.00167061	0.00452037	0.0011985	0.00428365	0.00418436	0.00415074	0.00197929	0.00542349	0.00496858	0.00496378	0.00181097	0.00303337	0.00385082	0.00329943	0.00401372	0.0025613	0.000359962	0.00269275	0.00531833	0.00130754	0.00466965	0.00305781	0.00283868	0.000660821	0.00369734	0.001275	0.00112378	0.0028556	0.00389213	0.0016236	0.00135508	0.00276407	0.000384683	0.00279616	0.00409634	0.00212304	0.00228211	0.00312066	0.00134604	0.00403866	0.00363469	0.00367838	0.0021555	0.00253521	0.00330881	0.00424028	0.00168372	0.00508416	0.0012615	0.00271372	0.00397168	0.00615124	0.00153563	0.00306871	0.00410534	0.00292017	0.00369424	0.00216294	0.00245789	0.00343487	0.00163074	0.00309831	0.00553589	0.0059065	0.00386378	0.00226439	0.00250898	0.00522796	0.00260607	0.00419078	0.00296682	0.00259754	0.00396863	0.00141319	0.00336331	0.00514541	0.00489947	0.00252287
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	0.00881021	0.00929052	0.0115873	0.0112691	0.0110443	0.00842871	0.00601657	0.00850819	0.00805701	0.0101967	0.0114096	0.00967126	0.0102836	0.00791769	0.00708434	0.00917372	0.0104948	0.00556662	0.00967507	0.00941348	0.0131102	0.0070497	0.0101239	0.00902825	0.00812746	0.011298	0.00866627	0.00793833	0.0108714	0.00963422	0.011012	0.0110919	0.00588266	0.0102267	0.00315918	0.00979423	0.00671216	0.00912077	0.00546877	0.0124365	0.0089549	0.0111373	0.00410419	0.0109003	0.00820106	0.0102457	0.00691361	0.0121745	0.0103218	0.00993247	0.0116703	0.00377771	0.0084334	0.00800935	0.0108736	0.00769819	0.0125572	0.00896321	0.00990867	0.0030061	0.0101437	0.0076385	0.00533709	0.0070914	0.00789645	0.00375388	0.00741193	0.0105422	0.00859033	0.00830701	0.00982855	0.00490376	0.0102122	0.0100594	0.0098638	0.0106033	0.00935694	0.00676666	0.00738586	0.00602468	0.0101326	0.00952209	0.0100563	0.00989716	0.00757093	0.0094509	0.0103322	0.00708223	0.00535115	0.00620489	0.0106744	0.00869436	0.0106175	0.00899699	0.00525463	0.0047641	0.00775682	0.00972519	0.00517068	0.0083801	0.00965253	0.0106457	0.00836395	0.00590609	0.0101577	0.0071058	0.00898251	0.010494	0.00615073	0.0085703	0.00944603	0.00548033	0.0101943	0.010328	0.00573622	0.0106956	0.00816802	0.00772482	0.0111211	0.0106871	0.00789122	0.00828303	0.00754419	0.0103775	0.00837664	0.0084281	0.011212	0.00991302	0.00852057	0.0116003	0.0124928	0.0106489	0.00910362	0.00919234	0.0119634	0.00615645	0.00716351	0.0112106	0.00941191	0.0083224	0.0101459	0.010655	0.00762747
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	0.00975131	0.00912642	0.0126583	0.0108366	0.0106364	0.00808849	0.0058019	0.00839429	0.00789177	0.00971106	0.0105399	0.00958306	0.0101724	0.00763865	0.00672285	0.00893537	0.00987898	0.00741676	0.00968256	0.00865984	0.0130053	0.00707109	0.00996611	0.00859096	0.00792647	0.0110955	0.00817509	0.00751845	0.00985653	0.00896035	0.0108839	0.010524	0.00583851	0.00961708	0.00316708	0.00919401	0.00675102	0.00989471	0.00929793	0.0118117	0.00870923	0.0106204	0.00441585	0.0102802	0.00839567	0.00944291	0.00671265	0.0132893	0.00977159	0.010262	0.0115746	0.00402895	0.00825019	0.00816329	0.0107617	0.0110262	0.0124229	0.00879807	0.00956318	0.00296668	0.00969595	0.0073345	0.00591618	0.00694818	0.0092749	0.00411049	0.00719266	0.0104468	0.00834538	0.00813266	0.00952503	0.00504345	0.00964944	0.00966631	0.00940832	0.0106008	0.00879507	0.00678517	0.0074391	0.00587702	0.0102236	0.0122112	0.0095753	0.00960869	0.0112312	0.0091404	0.0128431	0.00699365	0.00578734	0.00581259	0.0119444	0.0105129	0.0101682	0.00865743	0.00532136	0.00506984	0.00752241	0.00957341	0.00549186	0.00828891	0.00959292	0.0110441	0.00795972	0.00639977	0.00975816	0.00719286	0.00862665	0.0103955	0.00710472	0.00853618	0.00906612	0.00566301	0.00960187	0.00970415	0.00589432	0.0100514	0.00780112	0.00808558	0.012144	0.0100242	0.00771674	0.00832712	0.00731825	0.00997923	0.00844742	0.0086005	0.0107443	0.00919025	0.00818095	0.0110542	0.0123191	0.0102352	0.00860461	0.00889198	0.0115925	0.00597779	0.00708898	0.0108104	0.00981399	0.00815271	0.00949958	0.010334	0.00815811
